id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
0,おにごっこ,優里,2022/9/12,0.311049273,0.795180723,0.592838196,0.670352019,0.500574053,0.626687684,0.044310497,0.564794816,https://open.spotify.com/track/6AEEo4hAPdoeoIRS9TSmG5,https://i.scdn.co/image/ab67616d000048518d82c4fd9dfc25237024a2a7,https://p.scdn.co/mp3-preview/0d229d9a78c8d33e7bcc54ac44ca774afbebf81c?cid=18308f0d5b8049c89ee330d9cfa4bc58,5,0
1,Always You,milet,2022/8/1,0.344778456,0.722891566,0.263925729,0.101457826,0.817451206,0.729764924,0.794347251,0.359611231,https://open.spotify.com/track/38kfx7lgJFHFxJMAvMMkRy,https://i.scdn.co/image/ab67616d00004851bbf34f477195ab10ca76712e,https://p.scdn.co/mp3-preview/d685b5fa663e6a7f07f94227cedbdfa70fef3279?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
2,Alive,Anly,2022/7/27,0.328695461,0.361445783,0.346153846,0.554137138,0.819747417,0.784935919,0.884063511,0.345572354,https://open.spotify.com/track/40ZUuVk5kJhslyay7Yxkbe,https://i.scdn.co/image/ab67616d00004851c8ec7e12f9b8f1825cc73373,https://p.scdn.co/mp3-preview/5b692d23bc171d826745e0314c755684ef19b6e1?cid=18308f0d5b8049c89ee330d9cfa4bc58,13,0
3,グッドな音楽を,ねぐせ。,2022/7/27,0.275377434,0.795180723,0.526525199,0.003021587,0.793340987,0.925433486,0.486239341,0.898488121,https://open.spotify.com/track/2vAtN2fB1zqTzfPGxqHmyO,https://i.scdn.co/image/ab67616d00004851ad187f3ffcb34a500f7e45aa,https://p.scdn.co/mp3-preview/0f6307e2a91ef55af2d99d65e4754ff4154f2278?cid=18308f0d5b8049c89ee330d9cfa4bc58,17,0
4,コイワズライ,Aimer,2019/4/9,0.323268435,0.746987952,0.624668435,0.335116785,0.436280138,0.651223357,0.176403999,0.788336933,https://open.spotify.com/track/0ZiO07cHvb675UDaKB1iix,https://i.scdn.co/image/ab67616d00004851189f203384af534b6b269e7d,https://p.scdn.co/mp3-preview/a97a4a178d77bba35380ccf19fbf4ff9ae40eca6?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
5,遠くまで行く君に,Absolute area,2019/4/24,0.542354193,0.518072289,0.429708223,0.880432766,0.297359357,0.568706737,0.014804469,0.201943844,https://open.spotify.com/track/2tWfAheB6RGqBjAIUNTEta,https://i.scdn.co/image/ab67616d00004851d6c773fbe23786a8f6dbfb3b,https://p.scdn.co/mp3-preview/ece3cef575d57ec6ef03f993d3fe7cf0e668cc02?cid=18308f0d5b8049c89ee330d9cfa4bc58,12,0
6,タイミング ~Timing~,Klang Ruler,2021/12/24,0.241318906,0.722891566,0.732095491,0.127270939,0.55912744,0.707079707,0.397574243,0.723542117,https://open.spotify.com/track/5Y0JbLOPLfWdWTQHJPJtEx,https://i.scdn.co/image/ab67616d00004851461cc9c9dd1393d419930000,なし,18,0
7,again,YUI,2010/7/14,0.369056881,0.795180723,0.518567639,0.051284286,0.815154994,0.787540265,0.514576595,0.487041037,https://open.spotify.com/track/4OQq1bcP12GQQXJNupxqfR,https://i.scdn.co/image/ab67616d00004851fdec3ee19da7cd9b1b02ca9c,https://p.scdn.co/mp3-preview/db9cf2a3a0ebb7d4ae2c7cca905274e5613811ab?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
8,永遠に光れ (Everlasting Shine),TOMORROW X TOGETHER,2020/8/18,0.218226599,0.746987952,0.428381963,0.132858193,0.885189437,0.946885066,0.420302852,0.374730022,https://open.spotify.com/track/3zLCX1TGMpsA67cW2pq6ut,https://i.scdn.co/image/ab67616d000048512469669e3bdf4cfccb6b388d,なし,9,0
9,題名のない今日,平井 大,2021/2/10,0.224343339,0.771084337,0.667108753,0.223371707,0.41216992,0.633198547,0.125646869,0.637149028,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx,https://i.scdn.co/image/ab67616d0000485186a86bc3753b237672859788,https://p.scdn.co/mp3-preview/6b885a27d2518d3410d5e4ba68bd07ab4995287f?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
