id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
0,Good Time,アウル・シティー,2012/1/1,0.345399175,0.78,0.444602273,0.025207555,0.88941736,0.778983934,0.524742421,0.683233206,https://open.spotify.com/track/1kPpge9JDLpcj15qgrPbYX,https://i.scdn.co/image/ab67616d00004851cf5459850259268f98b07f7a,なし,5,0
1,California Gurls,ケイティ・ペリー,2010/1/1,0.43679196,0.43,0.768465909,0.003935893,0.747919144,0.819438414,0.516115184,0.378481704,https://open.spotify.com/track/6bUKd5y4eThkXvfJFSAUJ1,https://i.scdn.co/image/ab67616d0000485127271ebe78e28a2ff83eaa47,なし,5,0
2,What Makes You Beautiful,ワン・ダイレクション,2011/10/28,0.324014791,0,0.678977273,0.008624125,0.77764566,0.907005355,0.516073905,0.916985254,https://open.spotify.com/track/1T07kafGtJbDvosN0nu4Q2,https://i.scdn.co/image/ab67616d0000485136d38e3cf2ebac3fb7094b05,なし,6,0
3,That's What I Like,ブルーノ・マーズ,2016/11/17,0.347817647,0.84,0.860795455,0.013672176,0.51843044,0.728904328,0.590920349,0.87766248,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5,https://p.scdn.co/mp3-preview/dff97adc200a31774425d79cec92ad0e117ce2be?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
4,What Do You Mean?,ジャスティン・ビーバー,2015/11/13,0.344594079,0.79,0.849431818,0.624306462,0.526753864,0.500434216,0.51623902,0.804478427,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de,なし,8,0
5,Stay With Me,サム・スミス,2014/1/1,0.239718312,0.49,0.444602273,0.550226046,0.362663496,0.634389926,0.186141933,0.114145276,https://open.spotify.com/track/7876ppTxozBmoZ2EZZqV1i,https://i.scdn.co/image/ab67616d00004851899983dd29114e8b29fb051b,なし,4,0
6,Shake It Off,テイラー・スウィフト,2014/10/27,0.387617423,0.6,0.568181818,0.068385854,0.803804994,0.698292083,0.805668384,0.967231021,https://open.spotify.com/track/1CiVz2WkmZRwhU3A6J2Gjz,https://i.scdn.co/image/ab67616d000048510432bfd9e6adb616fd8bcc97,なし,6,0
7,Live While We're Young,ワン・ダイレクション,2012/11/9,0.327111072,0,0.583806818,0.066480929,0.847800238,0.938630771,0.524453471,0.960677226,https://open.spotify.com/track/6aGjEZ7kq3YXgD0EDt80O5,https://i.scdn.co/image/ab67616d00004851ddacff8ec2f8f34ed56957cf,なし,6,0
8,What the Hell,アヴリル・ラヴィーン,2011/3/8,0.39215524,0,0.460227273,0.004655531,0.960760999,0.821609495,0.722582722,0.882031677,https://open.spotify.com/track/4KBKK8JuXzJaPmiz8ZGwy3,https://i.scdn.co/image/ab67616d000048519060dc2974c461fdeb28e25c,なし,6,0
9,Bad Romance,レディー・ガガ,2009/1/1,0.627469387,0,0.637784091,0.00323742,0.947681332,0.816181792,0.466547784,0.718186783,https://open.spotify.com/track/1CZOrmHUUjeDP7N2B4Ba6S,https://i.scdn.co/image/ab67616d000048514aea834a7b3878bd43a8a4b4,なし,5,0
10,Lucky Strike,マルーン５,2012/1/1,0.279718566,0.6,0.605113636,0.000556767,0.739595719,0.761253438,0.67304009,0.425450573,https://open.spotify.com/track/4rpzPAbwJboZQw2p9T5T3f,https://i.scdn.co/image/ab67616d00004851fc8633e22a7dba6aab817bff,なし,7,0
11,Shut Up and Dance,ウォーク・ザ・ムーン,2014/12/2,0.323591558,0.83,0.470170455,0.007333009,0.882282996,0.812635693,0.541154811,0.614418351,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,https://i.scdn.co/image/ab67616d0000485143294cfa2688055c9d821bf3,https://p.scdn.co/mp3-preview/78558b79e4571208d3bf6e6a80d06e3f23511abd?cid=18308f0d5b8049c89ee330d9cfa4bc58,5,0
12,Sorry,ジャスティン・ビーバー,2015/11/13,0.329020392,0,0.578125,0.084260229,0.756242568,0.822405558,0.309226603,0.386127799,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,https://i.scdn.co/image/ab67616d00004851b6d9a4fbb0bd49f0f034aead,なし,5,0
13,Wake Me Up,アヴィーチー,2013/1/1,0.477438202,0.49,0.404829545,0.003882978,0.783590963,0.675640469,0.508511657,0.640633534,https://open.spotify.com/track/3B0irDyS69y5eAz15xV2Ee,https://i.scdn.co/image/ab67616d00004851162c5d6dbf1dc3965d1a391a,なし,5,0
14,Call Me Maybe,カーリー・レイ・ジェプセン,2013/1/1,0.305726687,0.36,0.765625,0.01187308,0.552913199,0.615863367,0.474869559,0.682140907,https://open.spotify.com/track/4mPn5iuKM7Wqux3YnptWJl,https://i.scdn.co/image/ab67616d0000485186a7e6f6153a762fc5c266c4,なし,1,0
15,Never Really Over,ケイティ・ペリー,2019/5/31,0.401374074,0.72,0.742897727,0.205222966,0.901307967,0.741134752,0.309606367,0.358820317,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,https://i.scdn.co/image/ab67616d000048519bea3b79b95f86d1b66ac960,なし,3,0
16,We Are Never Ever Getting Back Together,テイラー・スウィフト,2012/1/1,0.304199231,0,0.545454545,0.010190396,0.683709869,0.718627877,0.194133479,0.716002185,https://open.spotify.com/track/53HDOVjPio9hPhpE935MAu,https://i.scdn.co/image/ab67616d0000485125f5ca562a72461d4bdd0ffe,なし,5,0
17,Slow Down,Lights Follow,2017/5/5,0.343015707,0.42,0.5,0.059602034,0.74078478,0.674120712,0,0.451665756,https://open.spotify.com/track/6d2fMEUbVqZKfz5eNClUtN,https://i.scdn.co/image/ab67616d0000485181aef49b14a38c5748edc1e4,https://p.scdn.co/mp3-preview/97fb25870095a4eb268cb618a49ab757592f1987?cid=18308f0d5b8049c89ee330d9cfa4bc58,0,0
